,left,right,top,bottom,Name,height,width
150,304,655,0,959,esp-ltd-viper-256-dbsb-dark-brown-sunburst,959,351
151,664,1255,0,1919,schecter-hellraiser-c-7-fr-bch,1919,591
152,712,1207,216,1695,guild-surfliner-white-sage-b-stock,1479,495
153,648,1271,0,1911,jackson-js-22-sc-monarkh-tb,1911,623
154,648,1271,0,1919,fender-signature-strat-eric-johnson-2tsb,1919,623
155,640,1271,0,1919,fender-vintera-60-s-strat-olw-limited-edition,1919,631
156,648,1271,8,1911,fender-70th-anniversary-esquire-lpb,1903,623
157,608,1303,0,1919,jackson-concept-series-rhoads-rr24-hs-wh-blk-pin,1919,695
158,648,1271,8,1911,fender-american-professional-ii-telecaster-mn-rst-pine,1903,623
159,608,1311,8,1911,jackson-pro-rhoads-rr24-maul-crackie,1903,703
160,328,623,72,879,esp-usa-eclipse-sbm-duncan,807,295
161,640,1274,16,1903,prs-ce24-blue-matteo-10147271,1887,634
162,632,1287,8,1911,sterling-by-music-man-valentine-toluca-lake-blue,1903,655
163,648,1271,8,1903,schecter-nick-johnston-traditional-ag-lefthand,1895,623
164,320,639,8,951,prs-s2-custom-24-08-ev,943,319
165,648,1263,8,1911,jackson-dinky-js24-dka-m-dx-red-stain,1903,615
166,648,1271,16,1895,fender-jim-root-jazzmaster,1879,623
167,280,679,0,959,gretsch-guitars-signature-g5191bk,959,399
168,592,1319,0,1919,gretsch-guitars-electromatic-g5420t-org-10150547,1919,727
169,648,1263,8,1911,fender-jimi-hendrix-stratocaster-mn-3ts-10145414,1903,615
170,208,735,0,959,hoefner-shorty-deluxe-black,959,527
171,658,1279,8,1895,vintage-v6mrhdx-summer-of-love,1887,621
172,656,1263,8,1911,sterling-by-music-man-john-petrucci-majesty-100-siberian-sapphire,1903,607
173,656,1263,8,1911,schecter-pt-sls-evil-twin,1903,607
174,624,1295,8,1911,d-angelico-deluxe-bedford-sh-blk,1903,671
175,664,1255,8,1903,schecter-john-browne-signature-tao-7-satin-trans-purple,1895,591
176,648,1271,0,1919,fender-american-vintage-ii-1975-telecaster-deluxe-mocha,1919,623
177,624,1303,8,1903,d-angelico-premier-bedford-sb,1895,679
178,648,1271,8,1911,fender-american-professional-ii-telecaster-mn-btb-10150723,1903,623
179,328,631,0,959,evh-striped-series-bw,959,303
180,648,1255,8,1919,ibanez-gio-grg170dx-bkn-10083991,1911,607
181,592,1327,8,1911,gretsch-guitars-g2420-streamliner-phantom-metallic,1903,735
182,656,1263,24,1895,friedman-vintage-s-vintage-white,1871,607
183,640,1279,8,1911,sterling-by-music-man-jason-richardson-cutlass-7-npb,1903,639
184,640,1279,8,1911,charvel-pro-mod-so-cal-3-hsh-fr-slime-green,1903,639
185,648,1255,16,1911,schecter-hellraiser-hybrid-c-1-fr-s-tbb,1895,607
186,592,1319,1,1911,jackson-proseries-king-v-kvt-3ts-10147584,1910,727
187,640,1271,8,1903,gretsch-guitars-g5421-jet-club-fr,1895,631
188,656,1263,0,1919,ibanez-azes40-ppk,1919,607
189,376,583,176,783,gibson-slash-les-paul-10145643,607,207
190,656,1263,0,1919,fender-player-lead-ii-neib-grn,1919,607
